filename,title,text,date,topic,industry,region,topic_bool
2286, recoveri excit bring mexican market life, emerg evid mexico economi back recoveri track sent mexican market buzz excit tuesday stock close record high interest rate month low mexico tri stage recoveri sinc begin year alway get ahead term fundament said matthew hickman lehman brother new york point fundament us histori fall view histori one etch mind investor mexico economi crisi sinc decemb free fall peso stubbornli high interest rate week howev second quarter gross domest product report percent much stronger analyst expect interest rate govern treasuri bill cete secondari market fell tuesday percent lowest level sinc jan stock market main price index ralli point percent record point volum frenzi million share confound expect strength peso end higher longer term contract tuesday despit secondari cete drop expect lower benchmark rate tuesday weekli auction u long term interest rate expect remain steadi feder reserv refrain rais short term rate tuesday attract mexico analyst say offer robust return foreign grow confid fall victim crumbl peso focu back mexican fundament said lar schonand head research santand mexico citi continu declin inflat stronger expect gdp growth figur lack upward move u rate factor also play said felix boni head research jame capel mexico citi posit technic econom uncertainti argentina put neighbour brazil market risk movement south american market mexico said boni also wari said could lot hype econom recoveri still export led evid patchi domest consum back vengeanc also corpor earn need grow strongli justifi run stock market said,1996-08-20,E11;ECAT;M11;M12;MCAT;,,MEX;,0
2287, chrysler plan new invest latin america, chrysler corp tuesday announc million new invest south america includ assembl plant pickup truck diesel engin brazil expans jeep plant built argentina chrysler cautious tri rebuild intern presenc said project brazil worth million expans argentina worth million roughli one third total invest million come chrysler supplier play major role automak low risk global growth strategi chrysler chairman robert eaton said intend make riski invest major player emerg market ad thoma gale chrysler execut vice presid intern oper quit content grow steadi pace region see solid opportun eaton said invest boost chrysler sale mercosur free trade zone group argentina brazil paraguay uruguay compani limit product capac allow grab small portion mercosur market away rival gener motor corp ford motor co volkswagen ag said target specif market segment said interest desir offer vehicl everi possibl applic new brazilian plant chrysler third limit product facil south america assembl automak new dakota compact pickup truck sale argentina brazil paraguay uruguay countri mercosur free trade zone argentina chrysler said add product jeep cheroke year plant construct cordoba provinc plant alreadi schedul build jeep grand cheroke per year start next april cheroke output begin site brazilian plant select year end vehicl roll assembl line start mid chrysler said product howev modest truck first year ultim capac unit annual employ start peopl truck first larg assembl complet knock kit ship unit state automak intend meet mercosur trade bloc percent local content requir three year chrysler decid whether market dakota dodg brand name one brand automak use jeep chrysler brand name outsid unit state canada mexico million brazil invest also includ new diesel engin plant built detroit diesel corp million facil suppli compani italian design vm motori four cylind turbocharg diesel engin use brazilian dakota well jeep model built argentina chrysler instal engin annual minivan jeep grand cheroke sold europ other supplier support chrysler open plant latin america includ dana corp johnson control inc lear corp lear corp unit technolog corp ppg industri inc chrysler execut said eaton said total annual vehicl sale four countri mercosur region increas million unit current million end decad think major growth area eaton said polit econom stabl region think particularli rise consum buy power includ small plant venezuela assembl cheroke neon small car kit invest announc tuesday bring million total financi commit chrysler supplier made south america compani said chrysler stock rose cent close tuesday new york stock exchang,1996-08-20,C24;CCAT;,I24700;I34320;I35101;I36400;,ARG;BRAZ;USA;,1
2288, compuserv report loss cut work forc, compuserv corp tuesday report surprisingli larg million fiscal first quarter loss blame declin number subscrib onlin servic spend new famili orient servic improv compuserv predict second quarter loss said earn would improv second half fiscal year take step revitalis compuserv said chief execut bob massey compani said would cut job percent work forc part cost cut programm expect save million annual basi columbu ohio base compani said part cost cut would sell spri inc unit whose web browser trail far behind similar product made netscap commun corp microsoft corp loss million cent share compani fiscal first quarter end juli compar last year quarterli profit million cent share result includ pretax charg million cent per share compuserv last month said expect post loss quarter actual loss greater wall street expect compani report revenu million quarter vs million previou year quarter massey expand last month comment said number peopl cancel subscript exceed new subscrib compani onlin servic produc modest declin subscrib number juli compani flagship compuserv inform servic million member worldwid compani said total subscrib includ member niftyserv joint ventur japanes onlin servic number million compuserv found second america onlin inc million subscrib compuserv also blame loss invest famili orient wow servic infrastructur improv said expect loss continu second fiscal quarter hit cent cent share due cost roll latest version softwar need access servic compuserv releas featur make wow look differ teenag parent forecast second half fiscal year rosier coupl new product releas aggress market campaign expect third fourth quarter improv subscrib top million mark includ japanes license servic niftyserv massey said statement compani said also expect increas revenu advertis fee electron commerc compuserv former subsidiari tax prepar h r block inc spun compani sell percent stake compuserv compuserv announc financi result market close stock drop cent nasdaq earlier trade,1996-08-20,C15;C151;CCAT;E41;ECAT;GCAT;GJOB;,I83940;,USA;,1
2289, compuserv report loss cut work forc, compuserv corp tuesday report surprisingli larg million fiscal first quarter loss blame declin number subscrib onlin servic spend new famili orient servic improv compuserv predict second quarter loss said earn would improv second half fiscal year take step revitalis compuserv said chief execut bob massey compani said would cut job percent work forc part cost cut programm expect save million annual basi columbu ohio base compani said part cost cut would sell spri inc unit whose web browser trail far behind similar product made netscap commun corp microsoft corp loss million cent share compani fiscal first quarter end juli compar last year quarterli profit million cent share result includ pretax charg million cent per share compuserv last month said expect post loss quarter actual loss greater wall street expect compani report revenu million quarter vs million previou year quarter massey expand last month comment said number peopl cancel subscript exceed new subscrib compani onlin servic produc modest declin subscrib number juli compani flagship compuserv inform servic million member worldwid compani said total subscrib includ member niftyserv joint ventur japanes onlin servic number million compuserv found second america onlin inc million subscrib compuserv also blame loss invest famili orient wow servic infrastructur improv said expect loss continu second fiscal quarter hit cent cent share due cost roll latest version softwar need access servic compuserv releas featur make wow look differ teenag parent forecast second half fiscal year rosier coupl new product releas aggress market campaign expect third fourth quarter improv subscrib top million mark includ japanes license servic niftyserv massey said statement compani said also expect increas revenu advertis fee electron commerc compuserv former subsidiari tax prepar h r block inc spun compani sell percent stake compuserv compuserv announc financi result market close stock drop cent nasdaq earlier trade,1996-08-20,C15;C151;CCAT;,I83940;,USA;,1
2290, planet hollywood launch credit card, dine planet hollywood made feel like movi star spend money like arnold schwarzenegg new credit card theme restaur chain fast grow compani whose outlet festoon kitsch movi memorabilia team william morri talent agenc mbna america bank wilmington del offer credit card appropri hollywood perk includ preferenti seat restaur limit edit shirt discount food merchandis statement said planet hollywood join pop cultur compani roll stone magazin issu brand credit card make go debt fun usual approv applic pay annual fee special introductori annual percentag rate percent balanc transfer cash advanc check orlando florida base planet hollywood part planet hollywood intern inc,1996-08-20,C11;C22;CCAT;,I66100;I81501;I83954;,USA;,1
2291, hog price tumbl suppli increas cocoa gain, hog price fell tuesday govern slaughter figur show suppli increas cocoa futur rose anticip smaller crop oversea forecast shrink deliver suppli pull coffe price crude oil fell rise monday gold edg higher commod research bureau index futur contract close point chicago mercantil exchang august hog pork belli futur finish respect daili limit pressur increas hog slaughter weak cash market fact see hog show peopl worri suppli side import give packer littl freedom improv margin said doug harper brock associ inc senior livestock analyst high hog price pinch profit meat pack compani hog suppli increas compani like quick lower bid agricultur depart report tuesday slaughter head vs week ago also weekli basi slaughter near last year higher level cme august hog contract close cent per pound daili limit cent per pound pork belli also close sharpli lower hog translat pork lower pork price cme august pork belli close cent limit cent per pound cocoa futur new york coffe sugar cocoa exchang end sharpli higher specul buy market buoy news smaller oversea crop one analyst said updat ivori coast crop estim emerg near end august decemb contract like rang decemb cocoa settl per metric ton smaller ivorian crop well anticip analyst said countri problem ghana preliminari forecast peg ivori coast crop around metric ton larg factor market said bar sharp revis news cocoa produc countri could becom focu coffe price end higher burst late session chart base buy decemb coffe settl cent per pound tuesday day wide watch cent mark trader said break resist level could inspir addit chart driven buy wednesday new york mercantil exchang crude oil refin product futur close lower profit take septemb unlead gasolin close cent gallon cent septemb heat fell cent gallon cent septemb crude oil fell cent barrel septemb gold ad cent close ounc new york commod exchang,1996-08-20,M14;MCAT;,I66100;I81501;I83954;,USA;,0
2292, blue chip end fed keep interest rate steadi, blue chip stock ralli tuesday feder reserv held interest rate steadi dollar rose drop june trade deficit bond end littl chang crude oil fell rise monday gold edg higher dow jone industri averag close point put blue chip index within stone throw record close high set may broader market advanc issu led declin moder volum million share new york stock exchang central bank polici set feder open market committe end meet earli afternoon kept interest rate unchang allow wall street hurdl linger fear surpris increas expect neutralis interest rate factor price go higher said richard cripp chief market strategist legg mason wood walker fed expect hold interest rate steadi amid sign economi slow strong second quarter growth without inflat heat investor still prefer hold back polici maker announc keep short term rate unchang independ fed also sought stay line polit fire approach nov presidenti congression elect grow fastest pace two year second quarter economi look slow recent hous market weaken retail sale stall blue chip actual pare gain shortli fed news second look like buy rumour sell fact dow came back hard find indic anyth spectacular said joseph barthel chief invest strategist fahnestock co dow inspir ralli way liquid factor visibl safeti ad meanwhil weak high technolog stock pressur technolog stud nasdaq composit index close point currenc market dollar climb yen commerc depart report unit state trade gap shrank percent june import merchandis petroleum fell sharpli trade shortfal japan rose percent june second quarter deficit billion japan smallest quarterli deficit five year trend boost dollar sinc decreas amount dollar foreign export need sell local currenc good trade number said greg pearman chief foreign exchang dealer credit commercial de franc new york definit one huge buyer today right trade number bought lot dollar yen late new york dollar settl yen yen late monday dollar rose slightli german mark mark bond market yield year treasuri end unchang percent crude oil septemb deliveri lost cent barrel new york mercantil exchang septemb gold ad cent close ounc new york commod exchang oversea britain ftse climb point record surpass old mark set last week japan share nikkei averag rose point,1996-08-20,M11;M12;M13;M132;M14;MCAT;,I66100;I81501;I83954;,USA;,0
2293, sprint offer consum internet access servic, sprint corp tuesday announc plan offer internet access consum jump market help million home go onlin similar move rival mci kansa citi mo base sprint oper big chunk internet american busi sinc said would offer servic free exist telephon custom introduc wide fall consum abl choos flat rate month unlimit access hour minimum maximum usag requir nation third largest long distanc compani said internet fact profit make money internet busi longer anybodi said jim dodd vice presid internet access servic sprint industri analyst said sprint took time get consum side internet access busi avoid servic glitch hurt larger rival other got good press said bett massick colombo bear stearn co fact take time okay think lost ground sprint said servic dub sprint internet passport provid around clock access global comput network local phone call citi start citi year end offer compar servic roll corp mci commun corp well region bell oper compani earlier year entri market includ free access time spark flurri competit sent shockwav consum internet access busi sprint servic initi support netscap navig search softwar dodd said compani take microsoft includ explor browser softwar well first releas support microsoft browser expect part servic shortli dodd said sprint becam first long distanc compani offer commerci internet servic offer access internet servic provid host busi sprint also provid line access major proprietari onlin servic sprint billion annual revenu serv million busi residenti custom said offer would also includ netscap navig rebat certif high speed modem access speed kilobit per second dedic web site e mail news directori search servic technic support onlin toll free number credit card bill offer sprint stock fell cent new york stock exchang,1996-08-20,C22;CCAT;,I33030;I79020;,USA;,1
2294, back school spend, shopper load year perenni back school favourit jean shirt sneaker parent spend averag percent cloth suppli sort funni realli chang lot year ago jean shirt pant thing like basic peopl look said andrea kent director retail market group american express travel relat servic inc overal back school spend rise project percent averag per child american express said second annual survey shopper spend increas caus emphasi brand name good typic cost lower retail inventori reduc amount discount sale merchandis higher consum confid american express said ad percent parent say plan spend per child back school item cloth suppli textbook electron across board cloth account highest portion back school budget percentag highest elementari student percent budget high school student percent colleg student cloth account percent budget follow close behind textbook percent colleg student much greater demand item textbook high expens colleg student account percent back school budget kent said curious american express survey found colleg boy dramat style consciou colleg girl find contrari last year result among retail depart store battl special shop back school sale discount depart store get larg portion sale back school second largest sell season retail taken even import sinc import holiday season thanksgiv christma five day shorter year depart store back bang fight purs heart mind mall brat flex fashion muscl said alan millstein presid fashion network inc new york base retail consult american express survey show discount depart store captur percent sale follow mall percent depart store percent retail locat factori outlet offic suppli store account percent decis shop mostli left parent survey reveal children influenc buy let kid pick buy like want wear kent said back kid mom took shop pick like kid pick jean levi strauss co levi brand popular kent ad jean also import draw depart store tri lure high school colleg student offer includ design jean tommi hilfig ralph lauren polo calvin klein millstein ad low slung hip hug jean bell bottom big seller anyth retro look peac march back fashion sell millstein said among hot sell item target discount depart store chain own dayton hudson corp shirt accessori clay ring necklac reminisc accord dayton hudson spokeswoman susan eich popular item includ jumper girl backpack clog anyth zipper eich ad,1996-08-20,E14;ECAT;,I33030;I79020;,USA;,0
2295, kansa arizona add suit tobacco firm, kansa arizona file lawsuit biggest tobacco firm tuesday join grow list state seek recov hundr million dollar cost treat smoke relat ill time sourc said michigan oklahoma prepar file similar lawsuit week bring total number state su industri kansa attorney gener carla stoval call tobacco lethal consum product ever sold said state lawsuit warrant enorm financi burden tobacco industri shift kansa taxpay philip morri co inc one nine tobacco compani name suit said would vigor defend suit said basi law meanwhil aid michigan attorney gener frank kelley said would file suit tobacco compani wednesday legal sourc said oklahoma would file suit thursday indianapoli meanwhil anoth liabil challeng tobacco industri head toward decis juri expect begin deliber wednesday thursday case richard roger indianapoli lawyer began smoke age die lung cancer year later roger widow teen age children seek unspecifi damag also tuesday new york citi public advoc urg mayor rudolph giuliani sue tobacco industri recov citi paid health care cost smoker public advoc mark green said citi join group state citi san francisco effort obtain medicaid refund cigarett compani roger case indianapoli similar hundr file across countri earlier month jacksonvil fla juri award man smoke year stricken lung cancer case juri said lucki strike smoke defect product cigarett maker brown williamson tobacco corp unit britain b industri plc neglig fail inform public health risk smoke compani said appeal juri decis kansa lawsuit list damag excess stoval said actual figur would probabl run hundr million dollar cours discoveri abl come finit amount money claim term damag hundr million dollar state paid medicaid stoval said arizona attorney gener grant wood said state seek million damag relat cost arizona incur medicaid cost smoker ill stoval said kansa lawsuit suit broadest date sought forc tobacco firm pay program aim educ children hazard smoke name defend kansa suit rjr nabisco hold corp rj reynold tobacco co b divis brown williamson american tobacco co philip morri co loew corp lorillard tobacco co inc public relat firm hill knowlton council tobacco research tobacco institut arizona suit also name brook group ltd liggett group inc defend,1996-08-20,C12;CCAT;GCAT;GCRIM;,I42900;I83960;,USA;,1
